Kód obce;Název obce;Voliči v seznamu;Vydané obálky;Odevzdané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Dělnic.str.sociální spravedl.;Dobrá volba 2016;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Občanská demokratická aliance;Občanská demokratická strana;Radostné Česko;REALISTÉ;Referendum o Evropské unii;ROZUMNÍ-stop migraci,diktát.EU;Řád národa - Vlastenecká unie;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Unie H.A.V.E.L.
529303;Benešov;13 104;8 485;8 476;8 437;2 577;6;2;948;624;5;16;3;597;314;11;1 052;3;58;6;35;10;17;21;802;10;112;109;682;414;3
532568;Bernartice;191;148;148;148;39;0;0;7;17;0;0;0;7;37;0;4;0;3;0;4;0;0;0;6;0;0;1;20;3;0
530743;Bílkovice;170;121;121;118;47;0;0;3;15;0;0;1;18;6;0;7;0;0;0;2;0;0;0;8;0;0;0;9;2;0
532380;Blažejovice;96;80;80;77;29;0;0;5;5;0;0;0;11;6;0;6;0;0;0;0;0;0;0;3;0;3;0;8;0;1
532096;Borovnice;73;54;54;53;29;0;0;3;2;0;0;0;4;5;0;2;0;0;0;0;0;0;0;4;0;1;1;1;1;0
532924;Bukovany;598;393;393;393;127;0;0;49;20;0;4;0;20;8;0;50;0;1;1;0;0;1;4;53;0;6;8;30;11;0
529451;Bystřice;3 490;2 206;2 205;2 200;826;1;2;223;187;0;4;1;136;72;1;204;0;9;1;12;6;5;1;158;5;11;25;211;96;3
532690;Ctiboř;106;83;83;83;35;0;0;11;5;0;0;0;4;11;0;3;0;0;0;0;0;0;0;4;0;1;2;5;2;0
529478;Čakov;93;71;71;71;15;0;0;6;6;0;0;0;3;6;0;7;0;0;0;0;0;0;0;8;0;2;0;10;8;0
529486;Čechtice;1 140;750;750;744;226;0;1;58;54;1;2;0;75;81;0;70;2;8;0;6;1;2;3;50;4;15;5;44;35;1
